Bin,Start,End,Range,Value,Percentage,"Accumulated Value","Accumulated Percentage"
0,0,0.051472,"[0, 0.051472)",46,0.171004,46,0.171004
1,0.051472,0.102944,"[0.051472, 0.102944)",64,0.237918,110,0.408922
2,0.102944,0.154416,"[0.102944, 0.154416)",30,0.111524,140,0.520446
3,0.154416,0.205888,"[0.154416, 0.205888)",16,0.0594796,156,0.579926
4,0.205888,0.25736,"[0.205888, 0.25736)",8,0.0297398,164,0.609665
5,0.25736,0.308832,"[0.25736, 0.308832)",12,0.0446097,176,0.654275
6,0.308832,0.360304,"[0.308832, 0.360304)",7,0.0260223,183,0.680297
7,0.360304,0.411776,"[0.360304, 0.411776)",1,0.00371747,184,0.684015
8,0.411776,0.463248,"[0.411776, 0.463248)",8,0.0297398,192,0.713755
9,0.463248,0.51472,"[0.463248, 0.51472)",5,0.0185874,197,0.732342
10,0.51472,0.566192,"[0.51472, 0.566192)",6,0.0223048,203,0.754647
11,0.566192,0.617664,"[0.566192, 0.617664)",4,0.0148699,207,0.769517
12,0.617664,0.669136,"[0.617664, 0.669136)",9,0.0334572,216,0.802974
13,0.669136,0.720608,"[0.669136, 0.720608)",9,0.0334572,225,0.836431
14,0.720608,0.77208,"[0.720608, 0.77208)",8,0.0297398,233,0.866171
15,0.77208,0.823552,"[0.77208, 0.823552)",7,0.0260223,240,0.892193
16,0.823552,0.875024,"[0.823552, 0.875024)",2,0.00743494,242,0.899628
17,0.875024,0.926496,"[0.875024, 0.926496)",3,0.0111524,245,0.910781
18,0.926496,0.977968,"[0.926496, 0.977968)",2,0.00743494,247,0.918216
19,0.977968,1.02944,"[0.977968, 1.02944)",3,0.0111524,250,0.929368
20,1.02944,1.08091,"[1.02944, 1.08091)",5,0.0185874,255,0.947955
21,1.08091,1.13238,"[1.08091, 1.13238)",6,0.0223048,261,0.97026
22,1.13238,1.18386,"[1.13238, 1.18386)",7,0.0260223,268,0.996283
23,1.18386,1.23533,"[1.18386, 1.23533)",0,0,268,0.996283
24,1.23533,1.2868,"[1.23533, 1.2868)",1,0.00371747,269,1
