Sample,Pquery,Multiplicity,EDPL
RAxML_portableTree.dino_epa,d6a793bd001362ed30a1ba5f8a06fa8dd60561c7_19311,1,0.285616
RAxML_portableTree.dino_epa,4c37ff12e573dedee33c48df1de19af4033e5784_11879,1,0.683151
RAxML_portableTree.dino_epa,6d961ec230c74df89d504c2908ba347446d9071d_11712,1,1.16276
RAxML_portableTree.dino_epa,b8e2af4b0ca8de85d4643140f299e0a6a5eb1e51_17104,1,0.0686817
RAxML_portableTree.dino_epa,d20c9dfc8a9becdb9cda48bd9365c16b68205322_7565,1,1.1678
RAxML_portableTree.dino_epa,ee53ac3750359fda9d8a011237943062f9c3d66c_5772,1,0
RAxML_portableTree.dino_epa,4c554190d2d6dd436de4e6c438462f619e18265f_5365,1,0.181185
RAxML_portableTree.dino_epa,fc96e6a67377f73fe72f4d4638fbec6c59194dc3_4520,1,0.815612
RAxML_portableTree.dino_epa,7ee5cf32c634bd73780636ced48ccf80b5484854_4826,1,0.1321
RAxML_portableTree.dino_epa,532b5fb664c9995b8f0f58a1be8a1d6c27db6ebd_3064,1,0.66085
RAxML_portableTree.dino_epa,f9e3bb9f1cc7d1d39480a29bb220c52bc9b27608_2933,1,0.0727224
RAxML_portableTree.dino_epa,93a188b7435e9ac5053755f2989f2cca340dba24_3263,1,0.1505
RAxML_portableTree.dino_epa,402ff1c02cf1114cb6b6cfe542997b9d276dedbd_2668,1,0
RAxML_portableTree.dino_epa,92dac336af3373c32854d83a7535c7232bb2e264_2893,1,0
RAxML_portableTree.dino_epa,e26590a7c401a8e17ddf3090947520f9f3c1fea3_2967,1,0.0734758
RAxML_portableTree.dino_epa,d1f1e1ed2c659894415f7e0408f5dae1d6ecad2c_1593,1,0.0360018
RAxML_portableTree.dino_epa,f5390614fe3126281636dd5b8fa4cffaf8c3b26c_1991,1,0.128454
RAxML_portableTree.dino_epa,f5d50cc840e1144e93eeaa6d29b067d9ac79902e_1764,1,0.442266
RAxML_portableTree.dino_epa,720928ac158e8a47cbdb1c68d0bb65aed01439e5_1788,1,0.889512
RAxML_portableTree.dino_epa,793ed5f0b15e46106a691ff2ff3bb4ca11033d3e_2838,1,0.107004
RAxML_portableTree.dino_epa,5e197728f5006b8e36139eabb3d4562d4c5df937_1488,1,0
