Sample,PqueryName,Multiplicity,LWR.1,LWR.2,LWR.3,LWR.4,LWR.5,Remainder
RAxML_portableTree.dino_epa,d6a793bd001362ed30a1ba5f8a06fa8dd60561c7_19311,1,0.159018,0.159,0.145474,0.044608,0.031787,0.450152
RAxML_portableTree.dino_epa,4c37ff12e573dedee33c48df1de19af4033e5784_11879,1,0.577714,0.250048,0.159077,0.006237,0.0,0.0
RAxML_portableTree.dino_epa,6d961ec230c74df89d504c2908ba347446d9071d_11712,1,0.290652,0.072185,0.058869,0.044718,0.022626,0.501012
RAxML_portableTree.dino_epa,b8e2af4b0ca8de85d4643140f299e0a6a5eb1e51_17104,1,0.623124,0.225726,0.151144,0.0,0.0,0.0
RAxML_portableTree.dino_epa,d20c9dfc8a9becdb9cda48bd9365c16b68205322_7565,1,0.29318,0.074417,0.059227,0.044934,0.0226,0.495896
RAxML_portableTree.dino_epa,ee53ac3750359fda9d8a011237943062f9c3d66c_5772,1,1,0.0,0.0,0.0,0.0,0.0
RAxML_portableTree.dino_epa,4c554190d2d6dd436de4e6c438462f619e18265f_5365,1,0.096279,0.07369,0.073407,0.073331,0.073328,0.599996
RAxML_portableTree.dino_epa,fc96e6a67377f73fe72f4d4638fbec6c59194dc3_4520,1,0.376173,0.040586,0.033819,0.033762,0.033426,0.472471
RAxML_portableTree.dino_epa,7ee5cf32c634bd73780636ced48ccf80b5484854_4826,1,0.439105,0.058171,0.05817,0.056011,0.051906,0.326691
RAxML_portableTree.dino_epa,532b5fb664c9995b8f0f58a1be8a1d6c27db6ebd_3064,1,0.590689,0.228476,0.157997,0.007062,0.006993,0.0
RAxML_portableTree.dino_epa,f9e3bb9f1cc7d1d39480a29bb220c52bc9b27608_2933,1,0.131223,0.131187,0.128496,0.114939,0.114923,0.370947
RAxML_portableTree.dino_epa,93a188b7435e9ac5053755f2989f2cca340dba24_3263,1,0.920002,0.025869,0.0247,0.007611,0.007534,0.008542
RAxML_portableTree.dino_epa,402ff1c02cf1114cb6b6cfe542997b9d276dedbd_2668,1,1,0.0,0.0,0.0,0.0,0.0
RAxML_portableTree.dino_epa,92dac336af3373c32854d83a7535c7232bb2e264_2893,1,0.999988,0.0,0.0,0.0,0.0,0.0
RAxML_portableTree.dino_epa,e26590a7c401a8e17ddf3090947520f9f3c1fea3_2967,1,0.131815,0.131775,0.12908,0.115419,0.115406,0.36807
RAxML_portableTree.dino_epa,d1f1e1ed2c659894415f7e0408f5dae1d6ecad2c_1593,1,0.200917,0.200672,0.198081,0.192211,0.192201,0.00679
RAxML_portableTree.dino_epa,f5390614fe3126281636dd5b8fa4cffaf8c3b26c_1991,1,0.55318,0.103955,0.103365,0.078743,0.052416,0.100544
RAxML_portableTree.dino_epa,f5d50cc840e1144e93eeaa6d29b067d9ac79902e_1764,1,0.200596,0.176469,0.173437,0.053571,0.051387,0.335042
RAxML_portableTree.dino_epa,720928ac158e8a47cbdb1c68d0bb65aed01439e5_1788,1,0.371322,0.100429,0.076757,0.075758,0.048122,0.317932
RAxML_portableTree.dino_epa,793ed5f0b15e46106a691ff2ff3bb4ca11033d3e_2838,1,0.199595,0.197739,0.19723,0.100858,0.087056,0.211083
RAxML_portableTree.dino_epa,5e197728f5006b8e36139eabb3d4562d4c5df937_1488,1,0.999482,0.0,0.0,0.0,0.0,0.0
RAxML_portableTree.dino_epa,9026474cc46a75f00939957b1a6a708f879fba22_922,1,0.57385,0.332136,0.080153,0.003937,0.0,0.0
RAxML_portableTree.dino_epa,08e76210f82f3c85a0795393e744a2b37a2be132_986,1,0.401267,0.248264,0.062142,0.031911,0.02264,0.223813
RAxML_portableTree.dino_epa,6698fbde9ac45aba6fab523c102479eb1fa4988f_953,1,0.999991,0.0,0.0,0.0,0.0,0.0
RAxML_portableTree.dino_epa,4d66b77aead4818a5d3d13f9f27ee17d2164f1d7_987,1,0.035331,0.024512,0.022118,0.022118,0.022118,0.864091
RAxML_portableTree.dino_epa,b30350baadcc2d1e6e13db7ac9b5aadb37207dd9_864,1,0.824465,0.094754,0.031403,0.030531,0.001705,0.00721
RAxML_portableTree.dino_epa,aba964e993016c42c28a49f572a9176a7424e41e_913,1,0.209772,0.106399,0.102042,0.096602,0.093405,0.38182
RAxML_portableTree.dino_epa,159192736cbb97e1d1079f0709fd7841dadc1d19_866,1,0.256321,0.052954,0.047755,0.041074,0.022356,0.569804
RAxML_portableTree.dino_epa,dc3a7370b8e168d66c6d83d512081a55524571e0_1176,1,0.666436,0.173712,0.157817,0.0,0.0,0.0
RAxML_portableTree.dino_epa,4927cf57794970028dd04aa6cbd89a4937834072_566,1,0.464389,0.293917,0.241685,0.0,0.0,0.0
RAxML_portableTree.dino_epa,e2f98c7514e8a82aff090282cece162308a948c4_1246,1,0.773173,0.171873,0.045959,0.0,0.0,0.0
RAxML_portableTree.dino_epa,9d9b7584bef62b3c85d708da59bb2f6556d5efde_505,1,0.12119,0.121189,0.121177,0.060231,0.060158,0.506214
RAxML_portableTree.dino_epa,1ce825f5402141d6410f1766f3916e5c6d943c59_840,1,0.195255,0.193765,0.193356,0.097654,0.087996,0.228729
RAxML_portableTree.dino_epa,a0fd5c3584dad6151533e2e5545ecd105c622188_388,1,0.449367,0.298292,0.252328,0.0,0.0,0.0
RAxML_portableTree.dino_epa,e1e8bdf388cb28c352b31143811a618cee79ef77_373,1,0.999862,0.0,0.0,0.0,0.0,0.0
RAxML_portableTree.dino_epa,0e13994ab91bce37f31dad5fd0949ed600a4b434_360,1,0.386138,0.30702,0.306842,0.0,0.0,0.0
RAxML_portableTree.dino_epa,c26186e453d2655a42433bc36cf20b587a21a457_526,1,0.083971,0.078244,0.078052,0.078049,0.078033,0.595018
